"","V1","V2"
"1",1004,2
"2",1019,2
"3",1020,1
"4",1026,2
"5",1027,1
"6",1028,2
"7",1033,2
"8",1036,2
"9",1046,2
"10",1047,2
"11",1058,2
"12",1060,2
"13",1063,1
"14",1064,2
"15",1100,1
"16",1103,2
"17",1118,2
"18",1121,2
"19",1123,2
"20",1126,2
"21",1127,1
"22",1128,1
"23",1131,2
"24",1133,2
"25",1142,1
"26",1145,2
"27",1156,2
"28",1157,2
"29",1159,1
"30",1200,1
"31",1211,2
"32",1218,2
"33",1219,2
"34",1221,1
"35",1223,1
"36",1233,2
"37",1237,2
"38",1245,1
"39",1256,2
"40",1259,2
"41",1263,2
"42",1301,2
"43",1302,2
"44",1303,2
"45",1304,2
"46",1305,1
"47",1306,2
"48",1307,2
"49",1308,1
"50",1309,2
"51",1310,2
"52",1311,2
"53",1312,2
"54",1313,2
"55",1314,1
"56",1315,1
"57",1316,1
"58",1317,2
"59",1318,1
"60",1319,1
"61",1320,2
"62",1321,1
"63",2029,2
"64",2034,1
"65",2035,1
"66",2036,2
"67",2046,1
"68",2047,2
"69",2048,1
"70",2049,2
"71",2050,1
"72",2065,1
"73",2113,2
"74",2114,2
"75",2115,1
"76",2117,1
"77",2119,2
"78",2120,1
"79",2123,1
"80",2124,1
"81",2126,1
"82",2127,1
"83",2128,2
"84",2132,1
"85",2149,1
"86",2161,2
"87",2184,2
"88",2185,2
"89",2196,2
"90",2197,1
"91",2198,2
"92",2199,1
"93",2202,2
"94",2203,2
"95",2204,2
"96",2209,2
"97",2210,1
"98",2222,1
"99",2226,1
"100",2232,1
"101",2244,1
"102",2248,2
"103",2249,1
"104",2263,1
"105",2280,2
"106",2286,1
"107",2287,1
"108",2288,1
"109",2304,1
"110",2316,1
"111",2317,1
"112",2318,2
"113",2322,1
"114",2328,1
"115",2329,1
"116",2334,1
"117",2341,1
"118",2342,1
"119",2352,1
"120",2353,2
"121",2354,2
"122",2376,1
"123",2377,2
"124",2378,1
"125",2382,1
"126",2406,1
"127",2408,1
"128",2437,2
"129",2454,1
"130",2455,1
"131",2460,1
"132",2490,1
"133",2503,1
"134",2504,1
"135",2515,1
"136",2516,2
"137",2538,1
"138",2545,NA
"139",2580,1
"140",2581,1
"141",2582,1
"142",2611,1
"143",2712,1
"144",2725,1
"145",2726,1
"146",2736,2
"147",2737,1
"148",2738,2
"149",2739,1
"150",2740,1
"151",2741,1
"152",2754,2
"153",2762,2
"154",2789,1
"155",2803,2
"156",2807,2
"157",2808,1
"158",2822,2
"159",2823,1
"160",2824,1
"161",2825,1
"162",2826,1
"163",2827,2
"164",2837,2
"165",2838,2
"166",2839,2
"167",2843,1
"168",2846,1
"169",2850,1
"170",2852,1
"171",2853,2
"172",2861,1
"173",2862,2
"174",2863,1
"175",2864,2
"176",2865,2
"177",2866,2
"178",2867,2
"179",2868,2
"180",2877,1
"181",2879,2
"182",2882,2
"183",2883,2
"184",2884,2
"185",2893,2
"186",2894,1
"187",2897,2
"188",2898,2
"189",2899,1
"190",2900,1
"191",2915,1
"192",2916,2
"193",2917,1
"194",2921,1
"195",2922,1
"196",2923,1
"197",2924,1
"198",2925,1
"199",2926,1
"200",2927,2
"201",2936,1
"202",2937,1
"203",2938,1
"204",2939,1
"205",2945,2
"206",2946,1
"207",2947,1
"208",2951,2
"209",2956,2
"210",2957,1
"211",2960,2
"212",2961,2
"213",2962,2
"214",2964,2
"215",2969,1
"216",2970,1
"217",2971,1
"218",2975,2
"219",2976,2
"220",2977,1
"221",2981,1
"222",2982,2
"223",2983,1
"224",2987,2
"225",2989,1
"226",2990,2
"227",2991,2
"228",2992,2
"229",2993,1
"230",2994,2
"231",2995,2
"232",2996,1
"233",2997,1
"234",2998,2
"235",2999,2
"236",3000,1
"237",3001,2
"238",3002,2
"239",3008,1
"240",3009,1
"241",3010,1
"242",3019,1
"243",3021,1
"244",3038,1
"245",3039,1
"246",3053,2
"247",3055,1
"248",3056,2
"249",3057,1
"250",3058,2
"251",3060,1
"252",3061,1
"253",3062,1
"254",3063,1
"255",3064,1
"256",3067,1
"257",3071,2
"258",3072,2
"259",3073,2
"260",3074,1
"261",3080,2
"262",3081,1
"263",3087,2
"264",3092,1
"265",3094,2
"266",3095,2
"267",3097,1
"268",3098,1
"269",3101,1
"270",3104,1
"271",3105,NA
"272",3110,1
"273",3116,1
"274",3117,1
"275",3122,1
"276",3124,1
"277",3125,2
"278",3128,2
"279",3129,1
"280",3130,2
"281",3131,2
"282",3146,1
"283",3149,2
"284",3158,1
"285",3160,1
"286",3162,1
"287",3163,1
"288",3167,1
"289",3174,2
"290",3175,2
"291",3184,2
"292",3185,1
"293",3193,2
"294",3194,1
"295",3196,1
"296",3200,1
"297",3201,1
"298",3202,2
"299",3203,2
"300",3212,1
"301",3215,2
"302",3216,2
"303",3227,2
"304",3253,1
"305",3254,2
"306",3255,1
"307",3256,1
"308",3275,1
"309",3276,1
"310",3277,1
"311",3280,2
"312",3287,1
"313",3288,2
"314",3302,2
"315",3315,2
"316",3316,1
"317",3317,1
"318",3318,NA
"319",3319,2
"320",3323,1
"321",3335,2
"322",3336,2
"323",3341,1
"324",3342,2
"325",3344,1
"326",3349,1
"327",3350,2
"328",3356,2
"329",3357,2
"330",3358,2
"331",3368,1
"332",3370,2
"333",3374,2
"334",3376,1
"335",3380,1
"336",3382,1
"337",3389,1
"338",3395,2
"339",3401,2
"340",3402,2
"341",3403,2
"342",3408,1
"343",3409,2
"344",3412,1
"345",3414,1
"346",3415,1
"347",3416,1
"348",3430,1
"349",3431,1
"350",3432,2
"351",3439,2
"352",3440,2
"353",3441,1
"354",3442,1
"355",3443,2
"356",3444,2
"357",3445,1
"358",3450,1
"359",3457,1
"360",3458,1
"361",3459,2
"362",3460,1
"363",3461,1
"364",3462,1
"365",3463,1
"366",3470,1
"367",3471,1
"368",3473,2
"369",3475,1
"370",3477,1
"371",3478,2
"372",3484,2
"373",3486,1
"374",3491,1
"375",3507,1
"376",3508,1
"377",3510,1
"378",3511,1
"379",3514,2
"380",3527,1
"381",3532,1
"382",3537,1
"383",3542,2
"384",3543,2
"385",3547,2
"386",3548,2
"387",3550,2
"388",3551,1
"389",3552,1
"390",3553,2
"391",3554,1
"392",3555,1
"393",3565,2
"394",3577,1
"395",3578,1
"396",3579,1
"397",3586,1
"398",3589,1
"399",3590,NA
"400",3591,1
"401",3592,1
"402",3599,1
"403",3601,1
"404",3602,1
"405",3603,1
"406",3604,1
"407",3605,1
"408",3606,1
"409",3614,1
"410",3615,1
"411",3616,1
"412",3628,2
"413",3629,1
"414",3630,1
"415",3631,1
"416",3633,1
"417",3650,1
"418",3651,2
"419",3668,1
"420",3690,2
"421",3691,1
"422",3730,2
"423",3734,2
"424",3735,2
"425",3739,1
"426",3746,2
"427",3748,1
"428",3749,1
"429",3750,1
"430",3790,1
"431",3791,1
"432",3792,1
"433",3808,1
"434",3816,2
"435",3820,1
"436",3826,2
"437",3838,2
"438",3839,2
"439",3840,2
"440",3841,2
"441",3850,1
"442",3868,1
"443",3880,1
"444",3881,1
"445",3882,1
"446",3883,2
"447",3884,2
"448",3885,1
"449",3886,1
"450",3905,1
"451",3906,2
"452",3908,1
"453",3912,2
"454",3947,1
"455",3952,1
"456",3954,1
"457",3955,1
"458",3970,1
"459",3972,1
"460",6356,2
"461",6357,2
"462",6358,1
"463",6359,1
"464",6410,2
"465",6418,1
"466",6530,2
"467",6531,2
"468",6536,2
"469",6537,1
"470",6538,1
"471",6539,1
"472",6540,1
"473",6566,2
"474",6567,2
"475",6569,2
"476",6570,1
"477",6571,1
"478",6614,1
"479",6634,1
"480",6687,2
"481",6708,NA
"482",6715,2
"483",6746,1
"484",6767,1
"485",6809,1
"486",6830,1
"487",6839,1
"488",6851,1
"489",6854,2
"490",6855,1
"491",6905,1
"492",6908,2
"493",6910,1
"494",6914,2
"495",6915,1
"496",6916,2
"497",6923,2
"498",6956,1
"499",6957,1
"500",6958,1
"501",7009,2
"502",7037,2
"503",7055,1
"504",7056,1
"505",7057,1
"506",7058,1
"507",7073,2
"508",7115,1
"509",7121,2
"510",7122,1
"511",7123,2
"512",7124,1
"513",7125,2
"514",7126,2
"515",7127,2
"516",7135,1
"517",7139,2
"518",7141,1
"519",7151,1
"520",7153,1
"521",7159,2
"522",7176,2
"523",7211,2
"524",7217,1
"525",7219,1
"526",7220,1
"527",7222,1
"528",7265,1
"529",7266,1
"530",7269,1
"531",7270,1
"532",7289,1
"533",7290,1
"534",7292,1
"535",7293,1
"536",7295,1
"537",7297,1
"538",7299,1
"539",7307,2
"540",7309,2
"541",7310,1
"542",7343,1
"543",7385,1
"544",7386,1
"545",7387,2
"546",7388,1
"547",7389,1
"548",7391,1
"549",7392,1
"550",7453,1
"551",7457,1
"552",7458,1
"553",7459,1
"554",7481,1
"555",7483,1
"556",7511,2
"557",7524,1
"558",7543,1
"559",7561,1
"560",7573,2
"561",7589,2
"562",7607,2
"563",7609,1
"564",7619,2
"565",7643,1
"566",7703,1
"567",7704,2
"568",7705,1
"569",7711,2
"570",7713,2
"571",7745,1
"572",7746,1
"573",7799,2
"574",7800,2
"575",7801,1
"576",8002,1
"577",8003,2
"578",8004,1
"579",8006,1
"580",8021,1
"581",8053,1
"582",8054,1
"583",8055,1
"584",8056,1
"585",8059,1
"586",8077,1
"587",8078,2
"588",8095,2
"589",8119,2
"590",8120,2
"591",8121,1
"592",8122,2
"593",8227,1
"594",8233,1
"595",8234,2
"596",8235,2
"597",8296,2
"598",8297,1
"599",8299,1
"600",8300,1
"601",8301,1
"602",8302,2
"603",8318,1
"604",8319,1
"605",8342,1
"606",8350,1
"607",8354,1
"608",8363,1
"609",8364,2
"610",8373,1
"611",8441,1
"612",8493,1
"613",8498,2
"614",8513,2
"615",8514,2
"616",8515,2
"617",8547,2
"618",8548,2
"619",8550,1
"620",8551,1
"621",8571,1
"622",8572,2
